180018413280052,192.168.221.21,VT,jcb15
180020335013595,172.16.121.89,SC,jcb15
180028673107838,192.168.183.192,MD,jcb15
180081342476951,10.167.164.144,WY,jcb15
180096639591254,192.168.154.86,MD,jcb15
213132091954788,172.27.248.144,CT,jcb15
213137872693018,10.4.75.180,LA,jcb15
213149472269610,192.168.76.204,CA,jcb15
213159458755276,192.168.207.161,MA,jcb15
213162618683750,192.168.129.81,ID,jcb15
213174744193232,172.21.229.72,AR,jcb15
213175362057328,10.15.184.118,AR,jcb15
213185124264021,172.19.251.39,SD,jcb15
213192187232036,10.113.181.221,VA,jcb15
30114145301019,172.26.179.18,NY,diners
30155919162863,10.81.13.170,OK,diners
30161339487997,192.168.96.244,IL,diners
30405225221733,172.21.94.204,NC,diners
30515461596323,10.254.102.4,NC,diners
340917327719260,10.241.117.128,NY,amex
341607965216070,10.11.103.119,NY,amex
341651478911421,10.54.63.13,AL,amex
342013438973158,192.168.126.121,IA,amex
342805462817130,172.17.198.25,TX,amex
343568314271448,10.159.127.41,OK,amex
344889303653746,10.66.245.211,HI,amex
345091382622861,192.168.89.23,OR,amex
345413759941296,192.168.52.20,AR,amex
345803815204558,172.19.148.106,LA,amex
346781454558873,172.20.163.60,MO,amex
346979098869785,10.42.44.16,VA,amex
3500839564727154,192.168.103.86,SC,jcb16
3502465460874243,10.126.159.72,DC,jcb16
3504134000927360,172.17.225.208,ME,jcb16
3506972007123428,10.144.202.64,LA,jcb16
3506979434790521,172.17.189.128,AR,jcb16
3507284819440399,10.166.60.120,IN,jcb16
3509806331398834,172.27.190.177,OH,jcb16
3516724626999961,192.168.147.93,MO,jcb16
3520138914497238,10.99.179.188,KY,jcb16
3520645256522068,172.18.241.81,OR,jcb16
3521881287540980,192.168.248.225,LA,jcb16
3523595761111369,192.168.39.196,AL,jcb16
3524172413498666,192.168.248.126,UT,jcb16
3527139580875262,10.65.217.13,IL,jcb16
3528882787508603,192.168.246.250,IL,jcb16
3531844529452453,10.111.27.55,NE,jcb16
3532962355085947,10.39.178.121,DC,jcb16
3533480076994874,10.125.219.148,LA,jcb16
3534727959568632,172.20.254.222,VA,jcb16
3546603170040857,192.168.233.160,CA,jcb16
3548655455643183,172.27.140.228,NM,jcb16
3563372558080277,10.0.171.209,ME,jcb16
3564154872129652,192.168.196.153,CO,jcb16
3568956659321526,10.176.221.243,NY,jcb16
3571422908574444,172.25.55.149,OH,jcb16
3574330835574832,192.168.102.46,AK,jcb16
3575558114859834,192.168.21.232,WV,jcb16
3582560476376234,192.168.47.119,FL,jcb16
3582958397652628,192.168.235.34,OK,jcb16
3587865768931827,172.20.15.246,MD,jcb16
3593952520772269,192.168.189.168,OK,jcb16
3598557921742186,172.27.36.61,NY,jcb16
36259643900467,10.217.154.169,KY,diners
36948273077758,192.168.156.232,NY,diners
372703573776886,10.251.234.81,KS,amex
372716808732698,192.168.217.208,MD,amex
375020386533876,10.3.234.88,HI,amex
375679982482034,172.31.95.68,MO,amex
376637232357462,192.168.182.151,MN,amex
38299115616827,10.58.78.61,HI,diners
4018404701973980,10.37.3.186,WI,visa
4021715623079411671,10.160.13.199,VT,visa
4040591901779530,172.24.240.20,SC,visa
4058408441354,172.22.35.63,NE,visa
4067976934864,172.23.118.133,NH,visa
4094061653035619,192.168.63.75,MD,visa
4116594392698,172.28.241.153,PA,visa
4144399193545363164,10.41.87.107,DE,visa
4158823194013915,192.168.19.169,ND,visa
4162537250236441744,10.247.26.190,CA,visa
4208554991109644,172.16.122.248,WI,visa
4221132609522856381,10.11.2.248,MA,visa
4221863321175385529,10.249.63.139,AK,visa
4248599841868628,192.168.215.38,OH,visa
4250298406037888754,192.168.169.224,KY,visa
4251235670850414147,10.24.42.52,CO,visa
4252612540950499,10.235.180.164,MI,visa
4255877960308,172.27.218.163,KS,visa
4262202262817038395,172.31.131.196,NH,visa
4284239545300835207,192.168.150.228,IL,visa
4285442515096462706,10.216.179.152,FL,visa
4322027925753,10.102.228.32,WV,visa
4323193340267017423,192.168.18.86,CA,visa
4349843947240698,172.27.50.41,DC,visa
4352847051568319,192.168.103.107,SD,visa
4365582999510967,192.168.225.230,AK,visa
4395196300255,10.53.251.76,MS,visa
4411710233936193,192.168.248.223,PA,visa
4426148713293,10.28.205.193,MO,visa
4429352264433,192.168.132.30,NH,visa
4478118901095758308,10.211.33.224,ID,visa
4497523037123620,172.31.145.101,ID,visa
4520880887148482,192.168.106.25,NH,visa
4522461943423199,172.28.246.44,CT,visa
4529665921321971712,172.26.81.219,UT,visa
4540242707668551,172.25.155.4,UT,visa
4574250997288496007,172.28.49.181,ME,visa
4581622575175591,192.168.161.187,NH,visa
4614458261813315,192.168.223.166,CA,visa
4614910245590,172.26.62.50,KY,visa
4620886536422293137,10.122.152.219,NY,visa
4644849549273519720,10.41.109.80,ND,visa
4651152926604060,172.22.169.65,NE,visa
4653054095764659,192.168.16.189,MD,visa
4655894952634657074,10.174.232.133,TX,visa
4662536721189,192.168.147.102,CA,visa
4673436419900968,10.68.149.54,ND,visa
4685804482446616718,10.200.225.115,MA,visa
4700156414836374,10.230.19.12,VT,visa
4716466790794127,172.28.210.180,MD,visa
4727908339234658,192.168.0.241,VT,visa
4730161853526,10.244.123.196,KY,visa
4744104113385,172.29.187.169,ND,visa
4746609301774542,172.24.230.99,KS,visa
4750149362613146721,172.24.196.138,MS,visa
4756162265840690,10.129.182.182,DE,visa
